symbol baseMean log2FoldChange lfcSE stat pvalue padj gene
1 RPS4Y1 10677.5174354745 -8.77194777453158 0.142430495964972 -61.587567431408 0 0 ENSG00000129824.16
2 ENSG00000289575 731.969281177987 3.69973379653013 0.124875953584239 29.6272716270739 6.65712872930512e-193 6.4034921247186e-189 ENSG00000289575.1
3 PNPO 604.613472064072 -4.15522528417358 0.141057736283846 -29.4576206427427 1.00558313379002e-190 6.44846944261748e-187 ENSG00000108439.11
4 PCDHGA10 497.028934550168 4.4825524994386 0.200003814611751 22.4123350254102 2.98374990441282e-111 1.43503451652735e-107 ENSG00000253846.3
5 YPEL3-DT 525.009021826186 -2.41849737287296 0.115560532636692 -20.9284027832965 2.95223847734208e-97 1.13590327654214e-93 ENSG00000250616.4
6 LINC02506 1301.5361280868 -1.71308567034725 0.0988349556024406 -17.3327914188384 2.66093927837218e-67 8.53185830622067e-64 ENSG00000251129.3
7 SLC2A14 634.302675501787 4.68720840201414 0.278112737859829 16.853627194798 9.86727553060642e-64 2.71180923796866e-60 ENSG00000173262.12
8 ENSG00000286339 907.089856609004 -1.71471158438059 0.11506452813217 -14.9021736951893 3.19029185010238e-50 7.6718543265337e-47 ENSG00000286339.1
9 ENSG00000289456 383.59077125289 -2.13218513999641 0.144633394800724 -14.7419974683865 3.46385984745155e-49 7.40419286058588e-46 ENSG00000289456.1
10 ENSG00000282914 121.191888126491 3.76060456757707 0.264477368311228 14.2190032802796 6.98405773300758e-46 1.343593026676e-42 ENSG00000282914.1
11 SVIL-AS1 153.003335699179 2.88404761015833 0.205007293320905 14.0680244270326 5.97143467953317e-45 1.04434963968054e-41 ENSG00000291093.1
12 RPS3AP6 3075.14169477948 -1.45243512031652 0.10418183816659 -13.9413466480983 3.55174861997781e-44 5.69404499592776e-41 ENSG00000234797.5
13 MAP3K13 1564.20835803098 0.997068090329285 0.0835423801760024 11.9348777019366 7.78732598231649e-33 1.15240444036773e-29 ENSG00000073803.14
14 PCDHGB7 924.741372266852 -1.16835847432913 0.0994750062098097 -11.7452465583653 7.47043023918907e-32 1.02654383529657e-28 ENSG00000254122.3
15 ACTA2 3363.91754971898 0.854318314392775 0.0756654228754427 11.2907360049929 1.45810533733042e-29 1.87006869863751e-26 ENSG00000107796.13
16 GPRC5D-AS1 82.8342812843344 -2.93624260090654 0.279119941054057 -10.5196446725312 7.01375873252189e-26 8.43316815601601e-23 ENSG00000247498.11
17 NECTIN3-AS1 310.441122017905 -1.67647255782292 0.159802033647763 -10.4909338107562 9.50839630801999e-26 1.07601487160993e-22 ENSG00000242242.7
18 PLXDC1 217.030951032563 -1.65503349665198 0.158832325705432 -10.4200041729627 2.00944380748198e-25 2.1476488871299e-22 ENSG00000161381.14
19 OCIAD2 3764.07647192853 -0.823021815758553 0.0794819953349809 -10.3548207652549 3.97931181967051e-25 3.82770003934107e-22 ENSG00000145247.12
20 ZNF558 457.978132076059 12.2712163078457 1.18497143601683 10.3557064203118 3.94265242700101e-25 3.82770003934107e-22 ENSG00000167785.9
21 CCDC125 1979.01667717092 0.907662641755377 0.0899290694575457 10.0930950051015 5.92706750502043e-24 5.42975831721824e-21 ENSG00000183323.13
22 IRAG2 208.094333393707 1.64368140226664 0.16789808008371 9.78975698499436 1.24594981353893e-22 1.08952647785736e-19 ENSG00000118308.16
23 ZNF619 501.628349407041 -1.09925235142946 0.113350465985513 -9.69781942996117 3.08010822019708e-22 2.5763096495718e-19 ENSG00000177873.14
24 HACL1 1447.34802281156 0.853324200263263 0.088853831751549 9.6036848770834 7.7136318314485e-22 6.18311871555859e-19 ENSG00000131373.15
25 ZNF717 364.289579558463 1.42291081848408 0.155196709149183 9.1684342167095 4.79939269360322e-20 3.69322866558155e-17 ENSG00000227124.11
26 ZNF571-AS1 77.604244221428 2.36920617116132 0.260240630529833 9.10390574422517 8.71404044382127e-20 6.44771961762437e-17 ENSG00000267470.6
27 NKX2-5 89.2613998787133 2.3279549958868 0.258435598408342 9.00787279393497 2.10091859414322e-19 1.49694340422694e-16 ENSG00000183072.10
28 KRAS 11943.6641616689 1.09197792596066 0.121458201901545 8.99056555147935 2.45961475699289e-19 1.68993102482247e-16 ENSG00000133703.14
29 RASSF8 1410.2217072191 0.786769194496751 0.0879714492652861 8.94346064623961 3.77169677030566e-19 2.50206560231519e-16 ENSG00000123094.16
30 ZNF248 1067.32230736027 0.846739516867818 0.0955691023837639 8.859971431642 8.00349467953772e-19 4.96681389177247e-16 ENSG00000198105.16
31 LINC00648 270.797168915191 1.59205769765457 0.179681600055426 8.86043811477345 7.97005955317014e-19 4.96681389177247e-16 ENSG00000259129.6
32 ENSG00000290588 41.871670854217 4.4503456046253 0.509908640583979 8.72773130404004 2.59832066308572e-18 1.56207790363885e-15 ENSG00000290588.1
33 ADAMTS9 7536.26017596577 -0.657685866473 0.075948823970427 -8.65959250045912 4.73453714788042e-18 2.76009168639162e-15 ENSG00000163638.13
34 HMX1 134.581829999328 1.58501371031699 0.184426426411349 8.59428738689399 8.37831007190282e-18 4.74064497539019e-15 ENSG00000215612.8
35 OPRK1 687.043206940608 -0.919496420611509 0.107256265078352 -8.57289240810136 1.00917779017577e-17 5.54701780782896e-15 ENSG00000082556.14
36 PENK 1123.99298441294 0.709134837661742 0.0829337614545639 8.55061708554301 1.22432164005569e-17 6.54263880871983e-15 ENSG00000181195.11
37 ETFRF1 596.322677406076 1.14948454858621 0.135525026471073 8.48171425247101 2.21899992054808e-17 1.15376001274335e-14 ENSG00000205707.11
