symbol baseMean log2FoldChange lfcSE stat pvalue padj gene
38 ENSG00000288075 326.87458620862 -1.0527446239184 0.124315763402162 -8.46831162121224 2.4897548740539e-17 1.26047116492234e-14 ENSG00000288075.1
39 RWDD2B 389.148231401525 1.07583492323266 0.128802513206179 8.35259263544438 6.67806529344824e-17 3.29416974654762e-14 ENSG00000156253.7
40 POSTN 804.381379202247 2.03734823566201 0.244701961356418 8.32583533196342 8.37361379471574e-17 4.02728955456854e-14 ENSG00000133110.15
41 ELAVL2 768.795848495251 -1.08289691454073 0.131065186161526 -8.26227731600792 1.42919192473526e-16 6.70604737757486e-14 ENSG00000107105.15
42 STMN2 12901.3869062787 -1.53042157784994 0.185983320085784 -8.22881093392697 1.89080941881696e-16 8.66080752361919e-14 ENSG00000104435.14
43 AACSP1 101.082730658104 -2.0599848299665 0.251312597151865 -8.19690239690482 2.46660560293533e-16 1.10354787416907e-13 ENSG00000291019.1
44 SLITRK2 174.642978768837 -2.3726490456348 0.290517023766508 -8.16698799565607 3.16184347392707e-16 1.38244419889566e-13 ENSG00000185985.11
45 SPP1 9148.66733491645 1.30620876959577 0.163302574318462 7.99870286826274 1.2573672749495e-15 5.37538480788409e-13 ENSG00000118785.15
46 PLCXD3 1127.90354658593 -1.41897726255547 0.180091628186255 -7.87919614501974 3.29493917599009e-15 1.37800086668907e-12 ENSG00000182836.11
47 ZNF385B 456.027896645014 -0.931165549401022 0.118414448374054 -7.86361429865048 3.73205495675965e-15 1.52760155868388e-12 ENSG00000144331.20
48 EPHA2 13566.8407554472 0.497765375439768 0.0633405342748763 7.85855978542328 3.88575248534873e-15 1.55737721485706e-12 ENSG00000142627.13
49 CDKN1A 14043.0403582059 0.578283044379787 0.073706896307037 7.84571150535037 4.30505601464446e-15 1.69021770632102e-12 ENSG00000124762.14
50 BCAT1 8692.34527616743 0.654583725017976 0.0835308583003751 7.8364300132546 4.63536519384353e-15 1.78350311198324e-12 ENSG00000060982.15
51 PCDHGC3 882.302646069878 0.690173788665802 0.0890298424613223 7.7521623040683 9.03408175254388e-15 3.40779734814586e-12 ENSG00000240184.7
52 TTN 4141.87959650771 -0.74988665166099 0.0973893321619595 -7.69988493620555 1.36188808451331e-14 5.03846210958981e-12 ENSG00000155657.29
53 SYT2 795.655824616827 -0.864912459984957 0.112563781763015 -7.68375445848021 1.54492645748261e-14 5.60779154510385e-12 ENSG00000143858.12
54 APLNR 113.716358613369 1.77934159981279 0.234921550863583 7.57419484620226 3.61361717424897e-14 1.28738457774448e-11 ENSG00000134817.12
55 SLC9A4 303.918036305671 -1.14680289812619 0.152329171046808 -7.52845230001153 5.13452677372936e-14 1.79596411041828e-11 ENSG00000180251.5
56 ENSG00000289578 175.497359748565 -1.21632846519606 0.1622292491892 -7.49759042389154 6.50016329251562e-14 2.23303823966813e-11 ENSG00000289578.1
57 IFI6 90.3413011065798 -1.84813080200802 0.247554081175801 -7.46556386075316 8.29436517084221e-14 2.75115512339073e-11 ENSG00000126709.16
58 ENSG00000289426 102.444422801363 -1.94099665327018 0.259993205366687 -7.46556684253598 8.29417733125795e-14 2.75115512339073e-11 ENSG00000289426.1
59 SULF1 191.222716541125 1.37470940296001 0.187237807247091 7.34205032184472 2.10346272909092e-13 6.8587145732629e-11 ENSG00000137573.14
60 LAMB2 12174.2258361743 0.458430388479474 0.0633869592049076 7.23225083250216 4.75053717434954e-13 1.52318056933561e-10 ENSG00000172037.14
61 AMBP 19713.9753142181 0.639319231133849 0.0884917240568812 7.22462171403626 5.0249863159105e-13 1.58476535648338e-10 ENSG00000106927.12
62 SORBS2 3655.77558169819 -1.07193995532087 0.149586279319259 -7.1660312710436 7.72031459837714e-13 2.39553890715451e-10 ENSG00000154556.20
63 CCNA1 273.942776187492 1.17738352747177 0.164618647159779 7.15218808917191 8.54054329350958e-13 2.60798368064345e-10 ENSG00000133101.10
64 TRMT12 927.829712121463 -0.613444739322424 0.0860544953292031 -7.12856123292199 1.01423477701068e-12 3.04872635002055e-10 ENSG00000183665.5
65 KCNB2 252.946562412477 -1.0967332634161 0.155360557244312 -7.05927735372008 1.67370712550275e-12 4.95365810468029e-10 ENSG00000182674.6
66 SSXP10 63.209880505793 -1.92569733945548 0.275273076409585 -6.99558912398028 2.64146602694646e-12 7.69947324642363e-10 ENSG00000217330.1
67 MAOA 1088.06795175978 -0.750980267837836 0.107779134595892 -6.96777043769713 3.22003074399983e-12 9.24581364971176e-10 ENSG00000189221.11
68 STEAP3 8843.38975656183 0.505198838048077 0.0726923658180057 6.9498197281528 3.65753286136344e-12 1.03475907627809e-09 ENSG00000115107.20
69 ST18 250.127995450338 -1.39171995738846 0.20037513865419 -6.94557202423354 3.76929858073831e-12 1.05092414632237e-09 ENSG00000147488.13
70 PDE11A 868.425359521798 -1.34659256175458 0.195523670532472 -6.88710762276194 5.69381474169425e-12 1.56482297143877e-09 ENSG00000128655.19
71 ENSG00000290901 27.0387263504188 3.9288986595093 0.571061255727801 6.87999513204941 5.98546059626633e-12 1.62180691480242e-09 ENSG00000290901.1
72 SAMHD1 1778.21433757746 -0.5385790447331 0.078447858050636 -6.86543977256155 6.62867270365123e-12 1.77114452045615e-09 ENSG00000101347.11
73 S100A11 24017.9681143671 0.514542605289973 0.0753347284653029 6.83008508522012 8.48642840088154e-12 2.23646451474191e-09 ENSG00000163191.6
74 ENSG00000273748 47.9124632151472 -7.17279451719017 1.05285356627905 -6.81271807107986 9.57717186108769e-12 2.48980584140007e-09 ENSG00000273748.1
75 PLAT 642.892532616104 1.68109055934302 0.248925649025901 6.75338425719281 1.44435736218416e-11 3.70487292449319e-09 ENSG00000104368.19
76 FSTL5 701.991104926966 -0.884414844791987 0.131473099185238 -6.72696430123623 1.73239220734471e-11 4.38523174801284e-09 ENSG00000168843.14
77 DCX 1532.16818934527 -0.97718059325577 0.145675846549685 -6.7079108609984 1.97430464983667e-11 4.86944523763562e-09 ENSG00000077279.21
78 PTCHD4 1496.7095500321 1.04103943450555 0.155192667362412 6.7080452459424 1.97248778383537e-11 4.86944523763562e-09 ENSG00000244694.8
79 RIMS2 645.120264898402 -0.839438900669286 0.125420704209149 -6.69298506943043 2.18663457649127e-11 5.32487037753659e-09 ENSG00000176406.25
80 TNFRSF10D 7452.11989555422 0.479048110974847 0.0717075500326595 6.68058120458253 2.37996458681075e-11 5.72321984013316e-09 ENSG00000173530.6
81 NEUROD4 147.732652951121 -1.26815288356163 0.190000058599702 -6.67448680230893 2.48098803329631e-11 5.89249972648819e-09 ENSG00000123307.4
82 DSCAML1 639.051101380541 0.706352894081493 0.106639760745442 6.62372917140742 3.50248227715556e-11 8.21716512779495e-09 ENSG00000177103.15
83 CCDC141 1913.17367376831 -1.00652027015474 0.152037435930016 -6.6202133967719 3.58680697322481e-11 8.31361356034926e-09 ENSG00000163492.16
84 DRAM1 5717.67958332436 0.783244926970454 0.119206721024263 6.57047623020378 5.01545904960719e-11 1.1486595380517e-08 ENSG00000136048.14
85 PAK3 300.945393088664 -0.998829439706796 0.152670296687441 -6.54239535377126 6.0541197598391e-11 1.37022536399747e-08 ENSG00000077264.17
86 LIFR 20962.6625947194 -0.482233853679643 0.0742170589100154 -6.49761470963607 8.16034678895128e-11 1.82545059913773e-08 ENSG00000113594.10
87 NEUROG3 771.648859485462 -0.908731680592271 0.140127287157463 -6.4850444123072 8.87056512421184e-11 1.96151645815618e-08 ENSG00000122859.5
88 CADPS 1771.21670467185 -0.722019536211353 0.111412430836074 -6.48060122908272 9.13578351895708e-11 1.99720685611019e-08 ENSG00000163618.18
89 F5 510.334126764112 1.59879408234218 0.247760032595809 6.45299431708755 1.09661472761818e-10 2.37041282358635e-08 ENSG00000198734.12
90 GPRIN3 1720.68880909201 -0.574500319057176 0.0895970304394378 -6.41204642876534 1.43579092420329e-10 3.06908286664699e-08 ENSG00000185477.5
91 SOX21-AS1 287.359559818536 -1.06485262755668 0.167148806069894 -6.37068641167207 1.88184061809229e-10 3.97833514405049e-08 ENSG00000227640.5
92 TSPEAR-AS1 61.8081394797971 -1.7306099070418 0.27420676090732 -6.31133200842823 2.76643987788279e-10 5.7848663446423e-08 ENSG00000235890.2
93 URAD 201.575932036113 1.1746544512023 0.186196217734697 6.30869125857333 2.81404833239282e-10 5.82114643210464e-08 ENSG00000183463.7
94 SLC7A14 86.115734452869 -1.63213313784405 0.259558891131747 -6.28810336924889 3.21367910664235e-10 6.57710198442398e-08 ENSG00000013293.6
95 LCN15 81.2936393593353 1.69162368739891 0.271493895823737 6.23079823679416 4.64064466144449e-10 9.39754968388095e-08 ENSG00000177984.7
96 GDF6 231.053399524854 1.22637632307025 0.197287754258829 6.21618066299912 5.09401508472119e-10 1.02081939791527e-07 ENSG00000156466.11
97 LGALS3 29229.1080670103 0.634055120892767 0.102124869194607 6.20862602707008 5.34498491131841e-10 1.06007030643241e-07 ENSG00000131981.16
98 CHRM2 85.4306224028997 2.66616254748791 0.434896051719714 6.13057427618641 8.75624251357721e-10 1.71890401506325e-07 ENSG00000181072.12
99 ECHDC3 32.7337416715416 3.11671305116796 0.509452583184545 6.11776866786237 9.4894686099982e-10 1.8440242133247e-07 ENSG00000134463.15
100 ERFE 277.0493376732 0.916175617656441 0.149825929065098 6.11493366584345 9.65971361774512e-10 1.85833570578181e-07 ENSG00000178752.16
101 TMEM141 4046.40838326983 0.421415571725624 0.0695779428506256 6.05674089316417 1.38907061819735e-09 2.64583569830501e-07 ENSG00000244187.8
102 TCN1 15629.274740119 0.584565550782355 0.0965559662098691 6.05416292465836 1.4114969801263e-09 2.6621940101637e-07 ENSG00000134827.8
103 HLA-B 3704.40941796561 -0.875500352837123 0.145458517095651 -6.0189005794787 1.75605679557083e-09 3.27990491584385e-07 ENSG00000234745.14
104 ACVR1C 1285.11784993419 -1.31041433890875 0.218040218192636 -6.00996618775628 1.85562023987273e-09 3.43254059371843e-07 ENSG00000123612.16
105 AKT3 3275.49122957615 -0.511116254117681 0.0857980348132741 -5.9572023442034 2.56592471469164e-09 4.62625852214405e-07 ENSG00000117020.19
106 SFRP5 6599.00855462766 0.466097814952493 0.0782210817814327 5.95872371408613 2.54215464411475e-09 4.62625852214405e-07 ENSG00000120057.5
107 SLC2A2 1290.74563553225 0.830747241239669 0.139463243331003 5.95674689185284 2.57308276260221e-09 4.62625852214405e-07 ENSG00000163581.14
108 P2RY1 1566.90485941647 -0.856461771403641 0.143902180590646 -5.95169418481567 2.65380904236973e-09 4.72722021825083e-07 ENSG00000169860.7
109 CRLF1 404.776043869917 0.668588657285469 0.11254019615554 5.94088761282612 2.83482920170742e-09 5.00334350297683e-07 ENSG00000006016.12
110 ABCA12 1667.79418137181 0.787992382595218 0.132826373038471 5.9324994319237 2.98357422209148e-09 5.21800008041781e-07 ENSG00000144452.15
111 SGCD 802.071467147366 -1.007543863346 0.169987550476268 -5.92716266881361 3.08213626157996e-09 5.34181418020497e-07 ENSG00000170624.14
112 BMP4 1529.10875580697 0.62013868948523 0.104902167459432 5.91159081365074 3.38819376196223e-09 5.81982782077048e-07 ENSG00000125378.16
113 PRUNE2 350.858893163551 -1.05241446455183 0.178250433949813 -5.90413409511333 3.54503735425045e-09 6.006800259689e-07 ENSG00000106772.19
114 ENSG00000293464 570.961803030574 -1.1139626227969 0.18869646599147 -5.90346309319463 3.55949282464158e-09 6.006800259689e-07 ENSG00000293464.1
115 ENSG00000288802 131.549601759454 -1.26038452199686 0.214165190763713 -5.88510447240436 3.97802630771797e-09 6.6547191398155e-07 ENSG00000288802.1
116 SOX21 467.204046333722 -1.0853507615659 0.186373202509021 -5.82353442959894 5.76159381774517e-09 9.55530533325704e-07 ENSG00000125285.6
117 RAMP1 4705.76204693463 0.496596102179578 0.0854086061304682 5.81435671038805 6.08674971648515e-09 9.97856090852176e-07 ENSG00000132329.11
118 SYT11 3592.44322284869 -0.842072933522371 0.144849577561926 -5.81343037167206 6.12054364905691e-09 9.97856090852176e-07 ENSG00000132718.9
119 MYT1 298.680907912028 -1.13756532565442 0.195980753402192 -5.80447470430888 6.45681071006778e-09 1.04383297848978e-06 ENSG00000196132.14
120 CELSR3 2482.49887774731 -0.468352458588196 0.0807290249328837 -5.80153741454916 6.57096305020455e-09 1.05343489299863e-06 ENSG00000008300.17
121 ELMO1 1498.86454221683 -0.487669035985164 0.0842375367994598 -5.78921291521301 7.07170112326205e-09 1.12434203478773e-06 ENSG00000155849.16
122 NR3C1 1022.4046544728 -0.64072522265067 0.110751996672425 -5.7852250243918 7.24153262634377e-09 1.14190659561968e-06 ENSG00000113580.15
123 KCNK16 1245.87087450403 -0.950975161885118 0.16462936800943 -5.77646123157472 7.62880698206123e-09 1.19319503025117e-06 ENSG00000095981.11
124 TMOD2 1026.22122692939 -0.609986126922328 0.105868466674094 -5.76173572816645 8.32532831261452e-09 1.29163440385547e-06 ENSG00000128872.10
125 TMEM150C 1102.3698389415 -0.61040074543713 0.106074594905899 -5.75444804647741 8.69253322358612e-09 1.3378156332428e-06 ENSG00000249242.8
126 RPS27L 10448.0056104517 0.386292683230624 0.0671893524902063 5.74931397481367 8.96062816640635e-09 1.36813146559782e-06 ENSG00000185088.14
127 RIMBP2 569.34959533545 -0.829904764786502 0.144863826000287 -5.728861287875 1.01107025594971e-08 1.53157240818586e-06 ENSG00000060709.17
128 NPPB 3767.88030809306 0.485125377108932 0.0848150297836636 5.71980435951428 1.06646777761337e-08 1.60286774263484e-06 ENSG00000120937.9
129 COL17A1 1008.03784794628 0.793626157610942 0.13882357529753 5.71679670336991 1.08550853754676e-08 1.61319550855151e-06 ENSG00000065618.21
130 GPR142 221.723201721104 -1.13515195872842 0.198589322192441 -5.71607751210517 1.09011028231467e-08 1.61319550855151e-06 ENSG00000257008.7
131 RET 353.764577820338 -1.03511517495081 0.181194418456663 -5.71273212369057 1.11176613491053e-08 1.63268373308464e-06 ENSG00000165731.21
132 EPB41L4A 618.723946756142 -0.559000070753597 0.0978830611095066 -5.71089690511636 1.12382312876349e-08 1.63788707205697e-06 ENSG00000129595.14
133 INPP5D 5836.79918971003 0.385219863574672 0.0675132004531597 5.7058450938337 1.15767248878907e-08 1.67453408566348e-06 ENSG00000168918.14
134 POU2F2 282.760492098458 -1.03888484143443 0.182411308203335 -5.6952874888457 1.23164208125661e-08 1.76823360889661e-06 ENSG00000028277.22
135 MYH6 145.303665277467 2.01121951637924 0.354680373933894 5.67051256338782 1.42370928512946e-08 2.028838461283e-06 ENSG00000197616.13
136 TFF1 905.748424410324 0.883833061682639 0.156225556556057 5.65741662994492 1.53668419547358e-08 2.17373018768535e-06 ENSG00000160182.3
137 GNG11 99.3484879105331 1.20328584199163 0.212875944415814 5.65252144996353 1.58111059799206e-08 2.22024859008549e-06 ENSG00000127920.6
138 DAB2 4125.71201409217 -0.369955775302066 0.0655838006016874 -5.64096273634602 1.6910195995169e-08 2.35737935184827e-06 ENSG00000153071.15
139 ENSG00000290461 13.9763496705499 7.23737541253867 1.28498801874207 5.63225127937276 1.77872263072725e-08 2.46180330718926e-06 ENSG00000290461.1
140 DGKG 111.83240666068 -1.27734298245901 0.227214287837444 -5.62175466435835 1.89027584750646e-08 2.57908700385314e-06 ENSG00000058866.15
141 SPOCK1 8258.12666531495 -0.896309503686431 0.159416825515417 -5.62242724874577 1.88292872372693e-08 2.57908700385314e-06 ENSG00000152377.15
142 UNC13A 345.80652049827 -1.02810861216878 0.183107470425103 -5.61478245416159 1.96809696078252e-08 2.66635558672775e-06 ENSG00000130477.16
143 NFASC 934.908012122909 -0.927514217813339 0.165481256640166 -5.60495029252885 2.08314739270657e-08 2.80248877908315e-06 ENSG00000163531.17
144 NCAM2 120.260225433112 -1.06236611349088 0.189748820749777 -5.59880219172392 2.15837902206112e-08 2.88353441850082e-06 ENSG00000154654.15
145 CACNA1A 499.413881721542 -0.953664117789937 0.170377850833027 -5.59734797174161 2.17655570138209e-08 2.88776404021991e-06 ENSG00000141837.22
146 CASR 126.626670704404 -1.10802742631296 0.198192907983909 -5.59065123764628 2.26219550460284e-08 2.9641976613597e-06 ENSG00000036828.17
147 AGR2 117572.393799141 0.817043119593924 0.14615011953547 5.59043757330375 2.264981059465e-08 2.9641976613597e-06 ENSG00000106541.12
148 GPR83 80.9969724777353 -1.61033836109574 0.288348025052251 -5.58470397292969 2.3409861930289e-08 3.04296570145203e-06 ENSG00000123901.9
149 NOS3 164.749031854634 -0.951462937108831 0.170603564192731 -5.57704020787024 2.44645338254016e-08 3.15871611901393e-06 ENSG00000164867.11
150 SEMA3C 2547.69678021135 -1.00438412277531 0.180411418840666 -5.56718709508266 2.5888438550705e-08 3.3135406803264e-06 ENSG00000075223.14
151 CARD11 3695.59778527173 0.407454098435747 0.0731990784890088 5.56638289506511 2.60081423603954e-08 3.3135406803264e-06 ENSG00000198286.11
152 CHI3L2 234.812605030526 0.961968789971777 0.173065219360975 5.55841776599449 2.72231164844675e-08 3.44551522979069e-06 ENSG00000064886.14
153 NNMT 365.264022046729 0.980584956520908 0.176477696094686 5.55642428601737 2.75357079281804e-08 3.46230032106101e-06 ENSG00000166741.9
154 CEACAM7 62.0080327688991 3.10644556041576 0.560285300645678 5.54439953508662 2.94964631048549e-08 3.68475946241038e-06 ENSG00000007306.15
155 DUSP6 7594.71634492326 0.345467135051069 0.0623393665624027 5.54171712196098 2.9951988919752e-08 3.7175249215367e-06 ENSG00000139318.8
156 KCND3 360.910178091861 -0.839801686493172 0.151847835568649 -5.53054762584025 3.19232608655424e-08 3.9367929008417e-06 ENSG00000171385.11
157 ENSG00000293320 618.160124178631 0.67812943572292 0.122654361470735 5.52878371051418 3.22458608356935e-08 3.95124758443994e-06 ENSG00000293320.1
158 MNS1 465.318430292212 -0.677554842919438 0.122744172672403 -5.52005710876223 3.38889505993212e-08 4.12630146601102e-06 ENSG00000138587.6
159 SAR1B 6494.54035121172 -0.492314659595671 0.0892857534013326 -5.51392177185036 3.5092462811954e-08 4.24596729293315e-06 ENSG00000152700.14
160 RCSD1 26.1230868104464 3.1334606570798 0.568476951513092 5.51202761825189 3.54723240310277e-08 4.26510356068069e-06 ENSG00000198771.11
161 PDE1C 208.193500674799 -1.16213304297685 0.210914130023091 -5.50998191941725 3.58870559297291e-08 4.28816883214987e-06 ENSG00000154678.18
162 CTSF 1467.94773210352 0.852102930798949 0.154884221573942 5.5015476860059 3.76471757518928e-08 4.47071831552415e-06 ENSG00000174080.12
163 DSC3 1910.06803647842 0.53209808665796 0.0969153807640386 5.49033685327479 4.01167899547493e-08 4.7347656757636e-06 ENSG00000134762.17
164 INSM1 2126.1642993906 -0.917718980210668 0.167428431338355 -5.48126129400361 4.22304230619411e-08 4.95383462722941e-06 ENSG00000173404.5
165 LRAT 6861.66002455462 -0.784978662804548 0.143277748562635 -5.47871997347437 4.28413744914862e-08 4.9950446210134e-06 ENSG00000121207.12
166 PHYHIPL 1014.18108199076 -0.715066588809418 0.13063433980942 -5.47380259932123 4.40479717965522e-08 5.10478844230164e-06 ENSG00000165443.12
167 QPCT 562.231478241508 -0.770881358137916 0.14137109025492 -5.4528925026175 4.95570295467719e-08 5.70885110431615e-06 ENSG00000115828.17
168 OXTR 830.465386704968 -1.03421314464192 0.190016721560353 -5.44274807053459 5.24648221200025e-08 6.007846713956e-06 ENSG00000180914.11
169 PPM1E 263.891840223496 -1.06391591503885 0.195703054061671 -5.43637870211049 5.43743249881451e-08 6.18966428474518e-06 ENSG00000175175.6
170 HMGCS2 11939.1655912606 0.710852550534204 0.131397637258587 5.40993403964535 6.30479664227771e-08 7.13480457671403e-06 ENSG00000134240.12
171 ALPK3 15662.2498177082 -0.349099897550509 0.0645895866587297 -5.4048944359257 6.48465728756114e-08 7.29542905836849e-06 ENSG00000136383.7
172 GABBR2 425.096161452814 -0.629825881334341 0.116661018413584 -5.39876892812212 6.70997294627614e-08 7.50502671746863e-06 ENSG00000136928.7
173 SLC5A7 131.47658992532 1.43578930233446 0.266216015249092 5.39332429339769 6.91659582245192e-08 7.64721094438678e-06 ENSG00000115665.9
174 FAT3 1680.15252743877 -0.632303287422628 0.117217458352828 -5.39427570182742 6.88005100403893e-08 7.64721094438678e-06 ENSG00000165323.16
175 CYP2B6 764.765671941322 1.00364234904243 0.18638855305472 5.38467804268959 7.25744351350502e-08 7.97821133216054e-06 ENSG00000197408.10
176 TSPAN11 2671.8148830132 0.483781977596734 0.0898857990418827 5.38218475836559 7.35871760960895e-08 8.04358007804869e-06 ENSG00000110900.16
177 WT1 46.1317999954283 2.41355148064704 0.448763652856503 5.37822407248029 7.52241590897819e-08 8.17605860208602e-06 ENSG00000184937.16
178 NEUROD1 1775.00897133623 -0.863446195354844 0.160965528878271 -5.3641683494099 8.13230304236058e-08 8.78928347915353e-06 ENSG00000162992.5
179 ANKS1B 309.966542743954 -0.825069055175991 0.153873029626018 -5.36201215496494 8.23000006456692e-08 8.8451810749798e-06 ENSG00000185046.21
180 SOX1 69.1577634307886 -1.76752043592918 0.330523948496107 -5.34763197635585 8.91124296153791e-08 9.52413844967035e-06 ENSG00000182968.5
181 HPSE 813.047530460787 -1.21758058063878 0.22800192563947 -5.3402206021895 9.28335472106466e-08 9.86702641568188e-06 ENSG00000173083.16
182 TMEM200A 1863.92839900141 -0.483769777283434 0.0906320892134271 -5.33773171822418 9.41165810854587e-08 9.94843289517613e-06 ENSG00000164484.12
183 SMOX 6026.06779195215 0.429072722782665 0.080429697037111 5.33475492994443 9.56736854248619e-08 1.00577615311666e-05 ENSG00000088826.18
184 KCTD16 792.791079684641 -1.05297409774075 0.197492440413002 -5.3317184978764 9.72876699615286e-08 1.01718488843472e-05 ENSG00000183775.11
185 CADM2 1388.6903922891 -0.689645020302482 0.129414148948926 -5.32897697742969 9.8767514383327e-08 1.02707537389538e-05 ENSG00000175161.14
186 BNC1 106.11011018641 1.14221177131426 0.214411966011682 5.32718295793263 9.97476772199775e-08 1.0316912980419e-05 ENSG00000169594.14
187 TGFB2 7258.64054345205 -0.66018721065518 0.124110564408328 -5.31934742060426 1.0414010655387e-07 1.07136222988415e-05 ENSG00000092969.12
188 CYP1A1 853.832352627086 0.702793078131642 0.13218380746 5.31678646300391 1.05615891349409e-07 1.08076516903188e-05 ENSG00000140465.15
